category,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
        Men's and boys' clothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.614,47.444,48.014,48.275,48.887,49.586,50.184,51.51,53.36,56.413,60.043,62.494,64.27,65.107,67.473,72.757,75.925,78.617,82.26,83.518,84.87,88.399,92.562,95.356,97.336,98.533,100.765,101.199,103.471,106.865,109.551,112.055,115.054,115.775,115.358,113.624,112.187,112.249,113.164,112.154,111.767,110.619,107.198,103.829,100.617,100.166,99.003,97.34,95.84,96.416,96.883,95.43,97.796,101.952,103.726,102.879,102.054,101.394,100,100.739,101.094,96.541,99.064,104.468,108.012,109.549
        Children's and infants' clothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.351,34.22,33.004,32.354,32.344,32.458,32.623,32.881,33.24,34.661,35.771,36.452,37.24,38.306,39.58,49.975,60.041,63.281,69.395,72.071,73.509,79.524,86.458,89.601,94.061,95.459,99.687,104.019,104.017,107.79,109.95,115.767,117.841,118.303,115.333,114.033,113.219,114.676,112.802,109.899,112.27,113.549,112.395,110.036,106.262,103.173,101.547,101.361,99.128,98.971,99.614,99.348,98.761,104.134,101.401,102.293,104.175,100.858,100,104.669,103.852,97.9,98.012,105.94,109.773,109.08
      Other clothing materials,32.704,31.245,27.37,22.383,23.656,28.147,27.545,27.528,28.992,28.18,27.298,27.681,30.553,36.132,37.66,39.659,41.672,45.388,49.421,52.142,49.128,48.724,52.744,51.04,50.897,50.802,50.565,51.087,51.555,51.672,48.322,48.599,48.772,48.711,49.061,49.361,49.76,50.697,52.753,55.605,58.47,60.732,62.724,64.199,66.38,70.484,72.195,74.36,76.74,76.534,79.173,84.973,90.334,93.351,94.798,95.389,96.615,98.493,98.32,103.898,105.324,110.698,111.694,112.819,112.17,111.395,116.085,116.676,110.05,104.658,101.941,101.853,101.749,101.266,99.279,99.771,98.093,97.329,94.119,94.42,96.882,99.378,102.202,105.149,105.508,105.413,103.43,100.793,100,103.78,108.055,105.123,104.616,109.358,113.291,114.924
"      Cleaning, repair, and rental of clothing",6.771,6.724,6.62,6.412,6.168,6.117,6.026,5.909,6.07,6.153,6.124,6.094,6.221,6.709,7.01,7.399,7.5,7.877,8.609,9.049,9.311,9.492,10.162,10.312,10.613,10.678,10.837,11.268,11.72,11.96,9.505,9.901,10.005,10.164,10.356,10.498,10.726,11.173,11.691,12.132,12.689,13.299,13.745,13.971,14.589,16.241,17.669,18.955,20.238,22.388,25.258,28.713,32.01,34.402,36.177,38.061,39.817,41.345,43.122,44.957,47.282,49.414,51.454,52.66,54.104,55.532,56.312,57.25,58.677,59.544,60.944,62.384,64.849,66.69,68.215,70.239,72.313,74.758,77.273,81.083,83.804,85.969,87.694,89.525,91.418,93.17,95.26,97.805,100,102.375,106.472,109.845,114.086,124.579,133.937,141.655
        Laundry and dry cleaning services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.716,10.234,10.382,10.595,10.887,11.079,11.303,11.758,12.268,12.714,13.297,13.852,14.307,14.451,14.93,16.693,18.467,19.697,20.937,23.138,26.075,29.653,33.039,35.519,37.364,39.298,41.114,42.697,44.53,46.418,48.825,51.024,53.157,54.396,55.877,57.353,58.156,59.126,60.598,61.594,63.101,64.369,66.695,68.737,70.297,72.253,73.916,76.156,78.567,82.016,84.412,86.317,87.589,89.157,90.724,92.411,94.551,97.407,100,102.864,106.719,109.368,114.355,124.434,132.077,139.073
"        Clothing repair, rental, and alterations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.688,8.928,8.981,9.078,9.16,9.244,9.462,9.877,10.381,10.796,11.292,11.947,12.358,12.676,13.415,14.865,15.893,17.148,18.388,20.364,23.001,26.136,29.156,31.325,32.931,34.657,36.253,37.64,39.258,40.935,43.046,44.989,46.826,47.93,49.26,50.559,51.273,52.124,53.425,54.048,55.218,56.929,59.597,60.981,62.4,64.546,67.549,70.472,73.233,77.962,81.55,84.439,87.555,90.275,93.294,95.258,97.185,98.841,100,101.176,105.841,110.877,113.461,124.84,137.984,147.352
    Footwear\2\,18.087,17.107,14.813,12.491,12.03,13.019,12.734,12.833,13.452,13.35,13.182,13.344,14.122,16.517,18.234,19.687,20.723,22.763,26.406,28.505,28.172,28.575,32.046,31.487,31.321,32.077,32.478,34.093,35.127,35.646,33.456,34.574,34.927,35.42,35.796,35.992,36.62,38.746,40.653,42.805,45.428,47.758,49.344,50.694,52.787,56.062,58.71,61.083,63.993,66.482,71.41,76.608,80.303,81.966,82.13,82.764,83.416,82.691,84.858,88.288,91.344,93.273,95.364,97.576,97.883,97.012,95.699,95.005,94.891,93.993,91.614,90.251,89.699,88.571,87.265,87.077,89.56,90.227,89.423,90.753,92.733,93.574,93.954,96.394,98.743,99.091,100.089,100.456,100,99.545,100.032,97.574,101.145,105.797,106.07,106.778
"  Housing, utilities, and fuels",8.847,8.618,8.166,7.399,6.764,6.348,6.348,6.454,6.676,6.822,6.797,6.836,6.956,7.149,7.233,7.313,7.383,7.542,7.877,8.413,8.63,8.89,9.233,9.567,9.987,10.239,10.393,10.566,10.783,10.961,11.136,11.321,11.488,11.605,11.734,11.821,11.93,12.103,12.32,12.607,13.005,13.568,14.269,14.794,15.514,16.673,17.988,19.291,21.039,22.511,24.61,27.504,30.671,33.36,35.349,37.117,38.975,40.556,42.007,43.638,45.411,47.505,49.012,50.325,51.751,53.053,54.46,56.147,57.657,58.916,60.32,62.704,65.548,67.31,69.556,71.625,74.407,77.637,80.381,83.551,84.034,84.386,85.838,87.385,89.481,92.1,94.071,96.596,100,103.256,106.326,108.926,112.343,120.35,128.524,135.02
    Housing,9.718,9.442,8.905,7.973,7.156,6.525,6.555,6.704,7.017,7.238,7.234,7.258,7.381,7.57,7.618,7.683,7.776,7.956,8.258,8.767,9.057,9.367,9.777,10.194,10.715,11.04,11.2,11.391,11.604,11.837,12.037,12.229,12.398,12.549,12.704,12.834,12.961,13.157,13.41,13.739,14.192,14.799,15.486,16.044,16.727,17.354,18.477,19.686,21.345,22.809,24.57,26.827,29.559,31.991,33.914,35.681,37.812,40.05,41.871,43.75,45.567,47.709,49.216,50.564,51.941,53.402,55.052,56.719,58.31,60.156,61.833,63.852,66.355,68.976,70.715,72.503,74.36,76.968,79.712,81.888,83.32,83.358,84.478,86.309,88.308,90.742,93.536,96.666,100,103.391,106.915,109.978,112.744,119.347,128.392,135.316
      Rental of tenant-occupied nonfarm housing\3\,9.552,9.298,8.803,7.904,7.381,6.363,6.363,6.512,6.812,7.037,7.037,7.066,7.186,7.336,7.351,7.366,7.396,7.441,7.68,8.189,8.549,8.848,9.208,9.582,10.091,10.45,10.6,10.794,10.989,11.198,11.352,11.521,11.67,11.814,11.945,12.05,12.175,12.347,12.561,12.87,13.28,13.838,14.468,14.974,15.631,16.209,17.294,18.449,20.016,21.387,23.05,25.191,27.8,30.113,31.983,33.796,36.024,38.271,39.992,41.623,43.282,45.165,46.834,48.099,49.278,50.46,51.662,52.996,54.492,56.15,57.793,59.829,62.417,64.794,66.697,68.488,70.536,73.053,76.169,78.957,80.748,80.935,82.317,84.5,86.883,89.623,92.826,96.322,100,103.626,107.466,110.82,113.319,120.163,129.713,136.332
