category,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"    Furniture, furnishings, and floor coverings\5\",23.152,22.344,19.611,16.549,17.109,18.685,18.471,18.907,20.708,20.112,19.99,20.57,22.464,25.906,29.937,34.798,38.291,38.31,40.516,42.296,41.25,42.544,47.805,47.11,47.174,47.148,47.099,48.02,49.206,49.31,51.822,52.307,52.726,52.917,53.033,53.312,53.364,54.378,56.198,58.42,60.834,62.235,63.394,64.252,66.239,71.469,77.072,79.72,82.4,86.508,91.877,100.142,107.435,112.37,115.036,117.312,120.237,122.375,124.503,127.136,127.989,129.87,130.799,133.395,135.001,137.43,138.447,139.722,139.795,140.221,139.32,138.335,136.496,133.918,130.705,129.312,128.269,127.317,124.892,122.761,121.989,116.487,114.331,113.596,110.548,107.039,105.399,102.868,100,98.508,99.777,99.528,105.581,117.392,116.874,113.387
    Household textiles,31.642,29.113,24.11,19.919,21.106,23.779,23.79,23.677,24.671,22.574,21.663,22.377,25.636,33.108,38.242,43.458,46.983,49.64,60.829,62.667,54.909,55.58,60.651,55.86,55.129,53.743,53.516,54.072,54.465,54.447,72.507,74.836,76.22,76.018,76.285,76.358,76.838,77.907,80.016,82.919,85.499,87.108,88.762,90.597,92.485,105.807,113.784,118.458,126.003,132.27,141.549,153.526,164.357,177.897,186.731,193.525,197.257,199.901,205.549,211.552,212.477,214.169,214.27,215.865,215.766,215.755,212.765,208.255,203.524,198.272,196.391,193.416,186.622,181.639,170.916,164.629,160.706,153.192,145.514,140.055,134.227,127.096,123.702,119.475,115.247,112.267,106.764,103.956,100,98.653,95.61,97.871,96.941,100.616,99.899,97.327
    Household appliances\6\,66.175,63.24,58.504,51.079,48.34,48.848,48.165,48.823,50.591,50.718,50.073,48.386,50.876,58.37,64.565,68.847,72.241,72.423,79.688,84.193,81.881,80.941,86.718,86.814,86.316,85.115,82.488,78.875,77.886,76.141,66.708,65.938,64.736,63.35,62.223,61.628,60.372,59.607,59.856,61.271,62.856,64.595,66.132,66.563,66.751,70.316,78.122,82.512,85.549,89.908,94.86,99.735,105.66,112.243,115.651,116.203,114.045,113.688,114.659,115.053,115.097,114.569,113.579,113.144,113.725,115.178,114.516,114.754,114.554,113.559,111.94,111.427,111.541,111.051,108.561,105.976,109.305,112.343,116.156,117.981,119.292,115.143,114.297,119.541,117.759,112.237,107.789,103.289,100,103.914,106.497,110.848,121.234,128.152,121.277,118.006
"    Glassware, tableware, and household utensils\7\",17.432,16.918,15.338,14.306,13.985,15.497,16.877,15.895,16.144,16.139,16.147,16.154,16.525,18.615,20.941,23.617,24.556,24.387,24.992,25.435,26.307,27.258,29.847,30.561,31.339,31.768,32.373,35.048,36.941,37.995,37.985,39.177,39.664,40.685,42.047,42.822,42.805,43.714,44.99,48.489,50.509,52.098,53.636,56.013,59.203,66.879,78.275,83.245,86.738,93.001,100.662,111.132,122.256,127.374,129.764,130.03,130.57,134.094,137.378,138.419,140.508,143.275,146.585,149.503,148.689,150.664,147.699,145.975,145.033,148.22,145.131,143.402,139.467,134.405,129.059,128.871,128.135,123.649,121.758,123.378,123.568,120.346,118.042,113.247,111.772,107.276,105.164,102.371,100,94.52,92.468,90.594,90.771,96.309,94.799,88.731
    Tools and equipment for house and garden,25.742,24.669,21.755,19.446,19.348,21.404,21.47,21.709,23.608,23.271,22.972,23.49,25.547,29.048,31.507,34.526,36.151,38.131,42.173,44.045,42.899,43.726,47.983,47.151,47.806,48.332,49.505,51.535,53.627,54.812,56.368,56.753,58.382,59.366,59.648,59.229,58.171,57.087,56.974,59.307,61.666,61.315,60.758,60.685,60.818,64.612,70.607,73.115,74.651,76.269,80.467,85.986,91.964,98.808,101.161,101.247,104.514,102.727,102.988,103.069,99.437,100.297,101.398,101.271,101.285,103.081,103.107,104.825,106.328,103.698,101.538,101.504,100.95,99.724,97.494,98.543,101.378,102.475,102.699,101.784,102.167,99.376,100.666,101.966,102.849,102.281,102.098,100.497,100,100.501,101.791,102.807,106.739,118.174,126.25,123.516
    Other household goods and services\8\,6.758,6.367,5.606,4.862,4.594,4.678,4.752,4.892,5.26,5.053,5.123,5.211,5.525,6.302,7.581,8.86,9.804,10.501,11.771,12.216,11.773,11.719,12.631,12.883,13.295,13.628,13.705,13.953,14.486,14.916,13.182,13.642,13.683,13.834,14.002,14.187,14.487,14.946,15.392,16.195,16.844,17.857,18.742,19.295,20.079,23.121,27.37,29.887,32.357,34.475,37.224,40.669,44.22,46.856,48.214,49.294,50.882,51.873,53.115,54.496,56.789,58.456,60.717,61.472,62.027,62.534,64.579,66.254,67.311,68.748,70.255,73.4,76.231,77.516,77.536,78.489,80.715,83.956,85.691,89.409,92.052,92.14,93.173,95.406,96.041,96.59,97.762,99.413,100,102.415,105.505,109.211,114.768,124.135,131.363,134.455
  Health,3.202,3.204,3.019,2.713,2.65,2.701,2.802,2.845,2.907,2.955,2.939,3.008,3.071,3.228,3.418,3.604,3.726,3.973,4.363,4.607,4.678,4.766,4.975,5.173,5.362,5.51,5.675,5.858,6.089,6.313,6.474,6.816,6.911,7.013,7.148,7.338,7.523,7.803,8.211,8.646,9.176,9.793,10.247,10.624,11.059,12.013,13.308,14.525,15.697,16.992,18.581,20.754,23.241,25.815,28.141,30.219,32.065,33.964,36.113,38.819,42.096,45.597,49.068,52.411,55.054,57.164,59.068,60.446,61.621,62.824,64.351,66.234,68.563,70.468,72.977,75.543,77.886,80.348,82.978,85.121,87.462,89.74,91.56,93.374,94.511,95.828,96.83,98.349,100,101.745,103.247,105.442,107.572,110.24,113.12,116.048
"    Medical products, appliances, and equipment",11.384,11.317,11.139,10.687,10.147,9.841,9.646,9.642,9.71,9.767,9.758,9.769,9.869,10.069,10.199,10.317,10.405,10.621,11.367,11.988,12.228,12.368,12.847,13.012,13.053,13.117,13.266,13.546,13.986,14.398,14.608,14.625,14.367,14.035,13.839,13.8,13.792,13.869,13.867,13.913,14.122,14.474,14.747,14.827,14.914,15.455,16.666,17.653,18.756,20.044,21.358,23.237,25.631,28.122,30.367,32.39,34.468,36.455,38.502,40.607,43.091,46.059,49.22,51.852,53.377,54.583,55.238,56.449,57.337,58.679,60.849,62.964,65.662,68.131,69.819,71.684,73.656,76.388,77.502,79.108,81.388,83.8,86.258,88.679,89.102,91.371,94.241,97.428,100,101.21,101.298,101.739,100.165,102.978,106.857,108.905
      Pharmaceutical and other medical products\9\,10.726,10.668,10.474,10.077,9.544,9.174,8.933,8.939,9.007,9.072,9.029,9.019,9.127,9.351,9.404,9.476,9.544,9.738,10.527,11.151,11.331,11.471,11.884,12.038,12.132,12.245,12.369,12.648,13.035,13.479,13.681,13.652,13.316,12.928,12.704,12.641,12.595,12.622,12.531,12.516,12.657,12.916,13.08,13.09,13.105,13.512,14.557,15.411,16.383,17.557,18.752,20.41,22.649,25.032,27.24,29.269,31.348,33.324,35.27,37.332,39.855,42.903,46.205,48.844,50.294,51.474,51.857,53.073,53.928,55.278,57.664,59.833,62.664,65.411,67.272,69.189,71.229,74.048,75.115,76.824,79.272,82.077,84.79,87.407,87.824,90.297,93.588,97.11,100,101.248,101.147,101.786,100.155,102.814,106.539,108.518
        Pharmaceutical products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.542,13.51,13.172,12.781,12.557,12.493,12.448,12.474,12.383,12.368,12.507,12.762,12.923,12.932,12.946,13.346,14.376,15.219,16.178,17.341,18.526,20.168,22.39,24.752,26.948,28.972,31.049,33.016,34.96,37.024,39.537,42.585,45.893,48.533,49.97,51.146,51.506,52.72,53.573,54.922,57.317,59.495,62.343,65.11,66.981,68.905,70.957,73.788,74.854,76.577,79.035,81.888,84.626,87.258,87.675,90.18,93.514,97.081,100,101.256,101.13,101.812,100.197,102.821,106.491,108.476
        Other medical products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.674,28.724,28.369,27.944,27.662,27.593,27.521,27.594,27.489,27.542,27.822,28.471,28.94,29.007,29.104,30.139,32.643,34.615,36.867,39.179,41.532,44.841,48.967,53.596,56.936,59.569,62.167,65.193,67.638,69.842,73.609,77.168,80.581,83.59,86.389,88.018,90.88,92.304,93.374,94.581,95.449,96.204,96.244,95.876,96.226,97.083,97.555,98.97,99.963,100.263,101.621,99.485,99.754,101.007,101.441,100.896,100.153,99.686,100,100.58,102.613,99.525,96.646,101.828,109.733,111.194
      Therapeutic appliances and equipment,15.928,15.81,15.682,14.909,14.274,14.226,14.199,14.151,14.233,14.265,14.397,14.499,14.584,14.729,15.19,15.515,15.699,16.041,16.745,17.467,17.994,18.156,18.992,19.228,19.055,18.921,19.204,19.525,20.273,20.558,20.828,21.126,21.382,21.418,21.416,21.539,21.775,22.17,22.768,23.256,23.952,24.962,26.03,26.662,27.303,28.832,31.193,33.097,35.1,37.143,39.237,42.627,45.971,49.073,51.476,53.439,55.577,57.766,60.578,63.164,65.753,68.687,71.458,74.308,76.413,77.882,80.235,81.5,82.655,84.03,84.834,86.622,88.311,88.513,88.794,90.219,91.667,93.743,95.214,96.071,97.078,96.548,97.161,98.175,98.646,99.394,99.081,99.76,100,100.931,102.399,101.351,100.184,104.031,108.971,111.518
    Outpatient services,3.604,3.691,3.416,2.926,2.927,3.02,3.213,3.278,3.346,3.477,3.441,3.568,3.632,3.842,4.163,4.451,4.579,4.809,5.094,5.315,5.375,5.411,5.549,5.822,6.131,6.391,6.64,6.908,7.161,7.402,7.647,7.827,7.981,8.214,8.409,8.632,8.913,9.419,10.024,10.583,11.344,12.137,12.942,13.377,13.812,15.035,16.817,18.549,20.191,21.774,23.65,26.245,28.964,31.437,33.721,35.956,38.17,40.665,43.209,46.123,49.191,52.425,55.493,58.615,61.386,64.22,66.42,67.466,69.254,70.97,72.601,74.351,76.679,77.737,79.304,81.33,83.367,84.88,88.034,89.984,92.037,94.061,95.384,96.53,97.25,98.146,98.135,98.976,100,101.046,102.282,103.866,106.917,108.908,110.533,112.808
      Physician services\10\,3.602,3.684,3.412,2.937,2.95,3.045,3.236,3.304,3.358,3.48,3.453,3.576,3.643,3.847,4.187,4.46,4.568,4.785,5.043,5.248,5.275,5.301,5.437,5.737,6.036,6.281,6.566,6.852,7.137,7.381,7.626,7.812,7.995,8.227,8.414,8.646,8.924,9.486,10.13,10.693,11.48,12.318,13.147,13.567,13.993,15.296,17.156,19.106,20.87,22.581,24.676,27.286,30.27,33.113,35.706,38.187,40.406,43.342,46.534,49.865,53.523,57.373,60.753,64.57,68.164,71.58,74.395,74.917,75.924,77.55,79.271,80.647,82.942,82.839,83.973,85.668,87.211,87.997,91.609,92.579,94.817,97.144,98.627,99.786,99.924,100.485,99.333,99.544,100,100.821,101.806,102.985,106.818,107.352,107.911,109.966
      Dental services,2.653,2.727,2.522,2.125,2.106,2.162,2.319,2.357,2.439,2.541,2.514,2.615,2.643,2.819,3.014,3.253,3.392,3.594,3.855,4.057,4.178,4.223,4.333,4.474,4.73,4.944,5.046,5.203,5.332,5.489,5.628,5.74,5.771,5.937,6.098,6.264,6.469,6.678,7.013,7.394,7.92,8.362,8.902,9.262,9.565,10.276,11.349,12.093,12.986,13.888,15.054,16.847,18.454,19.883,21.215,22.937,24.387,25.74,27.487,29.331,31.128,33.159,35.604,37.964,39.92,41.793,43.806,45.828,47.951,49.992,52.329,54.714,56.932,59.471,61.905,64.956,68.562,72.132,75.845,79.745,82.12,84.382,86.344,88.332,91.371,93.329,95.699,98.405,100,102.732,104.986,108.089,110.573,115.04,121.53,126.747
      Paramedical services,4.141,4.234,3.908,3.397,3.397,3.537,3.723,3.817,3.863,4.049,3.957,4.096,4.234,4.421,4.84,5.165,5.258,5.49,5.816,6.049,6.097,6.143,6.283,6.608,6.932,7.261,7.585,7.91,8.191,8.516,8.924,9.153,9.375,9.663,9.892,10.111,10.455,11.104,11.852,12.543,13.381,14.41,15.35,15.825,16.406,17.894,20.133,22.395,24.477,26.364,28.161,31.336,34.278,36.564,38.79,40.529,43.353,45.696,47.119,49.817,52.479,55.238,58.029,60.327,62.19,64.64,65.979,67.126,69.719,71.301,72.327,74.171,76.533,78.403,80.089,82.022,83.958,85.541,87.652,90.164,91.763,93.206,94.002,94.774,95.425,96.4,97.196,98.31,100,100.787,102.046,103.744,105.829,109.126,110.769,112.502
        Home health care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.712,53.627,56.546,59.56,62.441,64.961,67.009,69.696,70.934,72.207,75.833,77.887,78.547,81.481,83.618,85.51,86.01,88.036,88.954,89.53,91.149,92.656,94.077,95.145,95.139,95.909,95.578,96.427,97.556,99.086,100,102.395,105.305,108.588,110.749,113.47,118.447,121.722
        Medical laboratories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.702,61.027,64.303,67.688,71.03,73.872,76.193,79.262,83.664,84.757,85.409,85.655,85.216,87.013,90.206,91.708,93.057,94.08,97.565,97.791,100.423,100.631,101.575,101.509,101.851,101.9,100.488,100.16,100.156,99.94,100,98.835,98.043,97.891,97.803,97.487,98.005,98.367
        Other professional medical services\11\,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.666,46.16,48.605,51.144,53.79,55.895,57.597,59.834,60.873,61.948,64.175,65.673,67.078,68.428,70.732,72.638,74.84,76.882,78.957,81.218,83.444,86.853,88.67,90.606,91.9,92.82,94.401,95.699,96.473,97.62,100,100.322,101.11,102.341,104.81,109.086,109.348,110.588
    Hospital and nursing home services,1.398,1.32,1.243,1.165,1.113,1.165,1.217,1.243,1.294,1.269,1.269,1.294,1.346,1.45,1.553,1.683,1.812,2.097,2.537,2.744,2.796,2.926,3.159,3.314,3.443,3.521,3.625,3.728,3.909,4.091,4.182,4.725,4.85,4.949,5.116,5.339,5.496,5.661,6.018,6.442,6.888,7.443,7.734,8.118,8.597,9.457,10.478,11.436,12.345,13.441,14.861,16.779,19.05,21.559,23.812,25.739,27.282,28.782,30.675,33.334,36.869,40.631,44.424,48.082,50.906,52.735,54.76,56.426,57.238,58.022,59.242,61.127,63.302,65.621,69.194,72.49,75.238,78.348,81.238,83.776,86.373,88.789,90.727,92.81,94.591,95.827,96.834,98.2,100,102.573,104.906,108.446,111.555,114.762,118.316,122.298
      Hospitals\12\,1.309,1.236,1.164,1.091,1.042,1.091,1.139,1.164,1.212,1.188,1.188,1.212,1.261,1.358,1.455,1.576,1.697,1.964,2.376,2.57,2.618,2.739,2.958,3.103,3.224,3.297,3.394,3.491,3.661,3.83,3.916,4.448,4.567,4.662,4.814,5.026,5.175,5.328,5.665,6.059,6.485,7.005,7.272,7.638,8.096,8.887,9.866,10.81,11.704,12.74,14.109,16.011,18.289,20.881,23.234,25.246,26.859,28.459,30.444,33.28,37.1,41.144,45.315,49.441,52.567,54.475,56.403,57.764,58.244,58.672,59.687,61.269,63.085,65.379,69.233,72.613,75.375,78.671,81.411,83.827,86.378,88.934,90.836,93.082,95.066,96.345,97.174,98.326,100,102.429,104.51,107.91,111.197,114.37,117.41,121.344
      Nursing homes,2.128,2.01,1.892,1.773,1.695,1.774,1.852,1.892,1.971,1.931,1.931,1.971,2.049,2.207,2.365,2.562,2.759,3.192,3.862,4.177,4.256,4.453,4.808,5.044,5.242,5.36,5.517,5.675,5.951,6.227,6.366,6.672,6.831,6.958,7.252,7.548,7.759,8.01,8.516,9.147,9.736,10.539,11.003,11.512,12.142,13.486,14.8,15.853,16.866,18.385,20.151,22.177,24.37,26.227,27.75,29.137,30.276,31.204,32.578,34.275,36.339,38.761,40.819,42.362,43.856,45.351,47.792,50.708,52.885,55.133,57.215,60.419,64.217,66.652,68.876,71.766,74.447,76.655,80.264,83.391,86.211,87.929,90.044,91.302,92.054,93.068,94.997,97.514,100,103.378,107.175,111.548,113.526,116.941,123.846,128.132
  Transportation,10.211,9.911,9.032,8.73,8.376,8.701,8.721,8.816,8.958,9.01,8.797,8.708,9.184,10.128,10.357,10.432,10.515,11.299,12.386,13.468,14.014,14.187,14.874,15.39,15.599,15.554,15.768,16.379,17.221,17.585,18.184,18.26,18.378,18.645,18.723,18.822,18.998,19.122,19.587,20.203,20.871,21.616,22.534,22.849,23.688,27.111,29.593,31.53,33.453,35.505,40.872,48.954,53.925,54.516,55.068,56.032,57.041,54.625,56.985,58.274,61.037,63.748,64.846,65.871,67.571,69.325,71.326,73.156,73.839,71.903,73.467,78.042,77.738,76.568,78.377,81.306,87.003,91.215,93.895,99.766,90.793,97.725,107.812,110.285,109.921,109.043,100.125,97.38,100,103.818,103.992,100.782,114.576,132.973,132.567,130.979
    Motor vehicles,6.851,6.664,6.4,6.053,5.48,5.772,5.651,5.677,5.789,6.11,5.952,6.046,6.68,9.306,9.98,10.759,11.204,17.765,19.951,21.77,22.667,22.657,23.587,24.717,24.231,23.356,23.651,24.813,26.552,27.695,29.316,28.819,29.144,29.685,29.882,30.158,29.725,29.413,29.767,30.782,31.342,32.184,33.818,33.875,34.234,36.297,39.958,43.062,45.503,48.859,52.322,55.732,60.447,63.681,66.597,69.434,71.328,73.632,77.41,78.628,81.05,81.307,83.858,85.617,89.781,94.708,99.014,101.349,101.88,100.735,101.15,101.525,101.664,100.859,97.561,96.621,97.999,97.479,96.339,93.41,92.545,96.761,99.657,100.772,101.905,102.15,102.303,101.545,100,99.846,100.457,102.036,115.218,128.677,128.16,124.969
      New motor vehicles,16.888,16.403,15.652,14.682,13.265,14.045,13.822,13.934,14.196,14.904,14.529,14.567,15.655,18.629,19.8,22.254,17.361,20.349,23.056,25.212,27.617,27.802,28.988,31.651,31.916,32.43,29.322,30.878,32.655,33.838,35.308,34.852,34.859,34.718,34.51,34.42,33.651,33.03,33.334,34.277,34.813,35.805,37.296,37.023,37.035,39.1,42.617,45.27,47.656,51.252,55.212,59.534,63.067,65.533,67.214,69.17,71.489,74.585,76.789,78.017,79.781,81.495,84.673,86.86,89.384,92.653,94.959,96.812,97.457,96.965,96.907,96.79,96.263,94.694,93.33,92.709,93.17,92.573,91.594,90.21,91.18,93.034,95.63,97.286,98.452,99.046,99.846,100.15,100,99.512,99.87,100.535,106.111,117.357,121.889,121.194
      Net purchases of used motor vehicles,0.47,0.491,0.606,0.722,0.688,0.622,0.503,0.432,0.459,0.587,0.559,0.849,1.645,2.99,3.22,3.425,3.731,7.607,8.167,8.808,7.09,6.758,6.965,5.788,4.508,1.572,8.351,8.558,9.779,10.491,11.789,11.345,12.125,13.774,14.817,15.925,16.407,16.964,17.41,18.521,19.111,19.473,21.384,22.526,24.132,26.152,30.104,34.624,37.253,39.676,41.225,41.463,49.754,55.508,63.221,69.723,69.881,68.933,78.846,80.009,84.812,80.192,81.013,81.721,89.908,98.952,108.013,111.414,111.717,109.25,110.63,112.062,113.737,114.833,106.528,104.763,108.506,108.195,106.674,100.34,96.044,104.624,108.159,107.863,108.88,108.234,106.902,104.026,100,100.399,101.426,104.615,131.697,149.276,138.602,130.439
    Motor vehicle operation,9.185,8.757,7.592,7.486,7.314,7.632,7.698,7.872,8.058,7.885,7.621,7.472,7.768,8.294,8.389,8.523,8.508,8.743,9.554,10.376,10.579,10.689,11.229,11.458,11.902,12.143,12.294,12.657,13.128,13.13,13.314,13.549,13.514,13.614,13.668,13.665,14.102,14.386,14.87,15.28,15.899,16.414,16.908,17.257,18.311,22.405,24.327,25.655,27.288,28.773,35.26,44.648,49.085,48.552,47.962,47.777,48.427,43.455,44.992,45.966,48.796,52.732,53.219,53.794,54.077,54.822,55.834,57.755,58.05,55.306,57.693,64.749,64.861,64.088,69.045,74.886,83.688,90.687,95.959,106.635,92.125,100.922,115.784,118.826,117.264,115.089,98.768,94.252,100,107.095,106.425,100.506,117.143,139.952,138.091,136.943
      Motor vehicle parts and accessories,29.41,27.365,23.392,21.545,21.983,22.628,22.814,22.924,24.123,23.648,23.338,22.103,22.422,25.693,26.45,28.306,28.348,29.015,30.064,30.661,30.586,31.432,35.513,35.448,34.964,34.208,34.295,34.728,35.029,35.13,34.903,33.839,32.85,32.921,33.456,33.478,34.749,35.471,36.34,37.674,38.893,40.751,42.25,42.532,41.429,44.228,48.235,51.657,55.14,57.706,63.333,70.392,73.961,75.767,73.62,70.783,70.746,70.535,71.104,72.211,73.745,74.002,74.668,75.156,73.931,73.513,73.767,73.645,73.251,72.636,72.284,72.54,74.322,75.643,76.397,76.774,78.574,81.777,84.574,89.039,92.529,94.32,97.812,100.349,100.338,99.976,100.147,100.038,100,100.946,102.965,104.934,108.781,121.724,125.5,126.436
"      Motor vehicle fuels, lubricants, and fluids",7.509,7.171,6.063,6.307,6.252,6.563,6.577,6.793,6.954,6.765,6.455,6.347,6.631,6.941,7.009,7.023,6.968,7.144,8.008,8.981,9.169,9.183,9.372,9.561,9.966,10.182,10.29,10.601,11.06,10.952,11.107,11.428,11.316,11.387,11.359,11.285,11.712,11.981,12.377,12.56,12.973,13.089,13.184,13.356,14.633,19.768,21.094,21.991,23.264,24.275,32.532,45.15,50.238,47.697,46.137,45.447,45.814,35.981,37.364,37.681,41.159,46.857,46.241,46.062,45.594,45.81,46.539,49.389,49.379,42.987,46.798,59.795,57.65,54.199,63.139,74.25,90.276,101.889,110.459,128.647,94.378,111.35,139.944,144.849,140.838,135.501,99.724,88.729,100,113.111,109.25,93.343,124.404,162.702,146.575,138.937
      Motor vehicle maintenance and repair,6.543,6.327,5.939,5.165,4.612,4.764,4.935,4.937,4.951,4.951,4.936,4.92,5.137,5.587,5.647,5.726,5.771,5.957,6.452,6.808,6.978,7.132,7.659,7.86,8.278,8.572,8.758,9.097,9.422,9.577,9.781,9.952,10.213,10.346,10.474,10.601,10.82,10.995,11.469,12.076,12.854,13.807,14.803,15.452,16.315,17.96,20.255,21.725,23.359,25.256,27.698,30.532,33.313,35.751,37.252,38.435,39.442,40.635,42.135,43.823,45.575,47.345,49.338,51.141,52.631,54.025,55.262,56.679,58.142,59.561,61.198,63.142,65.338,67.731,69.644,71.27,73.672,76.774,79.382,83.228,86.638,88.285,90.129,91.714,93.159,94.72,96.392,98.043,100,101.94,105.408,108.933,113.314,122.417,136.619,145.028
      Other motor vehicle services,14.005,13.733,13.216,12.135,11.318,11.594,11.675,11.611,11.569,11.524,11.608,11.612,12.043,12.796,12.391,12.401,12.457,13.241,14.097,15.284,16.216,16.285,17.199,18.502,19.84,20.206,20.318,20.479,21.254,22.237,22.948,23.065,23.171,23.246,23.242,23.302,23.416,23.505,23.67,23.85,24.135,24.491,24.869,25.129,26.015,27.47,29.395,30.796,32.293,33.82,37.231,41.255,45.19,48.967,51.66,54.448,56.895,61.613,65.774,67.94,70.965,73.592,75.222,75.807,78.483,81.591,84.231,84.574,83.615,84.277,84.804,86.513,89.029,89.354,88.596,87.601,89.085,90.569,91.561,94.952,102.474,99.864,99.146,98.661,98.334,98.068,98.297,99.699,100,103.152,102.537,101.471,111.455,123.412,129.159,128.008
    Public transportation,7.049,7.072,6.741,6.359,6.12,6.207,6.313,6.263,6.204,6.272,6.313,6.151,6.179,6.49,6.666,6.601,6.697,6.918,7.403,8.02,8.842,9.438,10.108,10.538,10.929,11.3,11.634,12.014,12.48,13.009,13.539,13.992,14.54,15.114,14.993,15.254,15.476,15.863,16.418,17.087,18.253,20.01,21.6,22.35,22.975,24.564,26.837,29.07,30.937,32.346,34.728,44.22,52.034,53.174,54.651,57.336,57.406,54.614,57.067,60.755,63.892,66.286,66.49,68.014,71.077,68.924,69.896,69.203,72.438,73.435,73.438,76.161,72.404,68.011,70.096,70.913,74.805,79.257,80.17,86.639,83.77,88.829,94.859,98.244,99.31,101.11,99.596,99.061,100,101.557,103.807,97.289,98.69,113.537,118.095,118.72
      Ground transportation\13\,3.929,3.945,3.76,3.547,3.414,3.464,3.523,3.494,3.461,3.503,3.524,3.435,3.45,3.622,3.719,3.681,3.739,3.872,4.141,4.478,4.952,5.308,5.705,5.961,6.203,6.445,6.671,6.921,7.232,7.506,7.811,8.005,8.263,8.56,8.685,8.908,9.076,9.402,9.907,10.433,11.084,12.323,13.352,13.938,14.153,14.938,16.376,17.714,18.949,19.965,21.452,24.832,29.097,32.007,33.569,35.609,36.954,39.552,40.667,42.254,43.535,45.639,47.839,49.782,50.408,50.871,51.441,55.266,56.154,56.627,56.637,58.075,59.877,61.444,64.913,67.999,70.811,74.293,75.381,79.089,82.427,85.993,90.439,91.782,94.629,95.063,96.306,98.604,100,101.188,101.621,99.175,102.76,104.446,105.794,104.586
      Air transportation,26.315,18.26,18.2,16.071,16.032,13.617,14.345,14.358,14.37,12.669,13.646,12.835,12.975,14.201,14.828,15.639,14.597,13.69,14.887,17.028,17.316,17.028,17.19,17.395,17.375,17.117,16.878,16.865,16.867,18.03,18.772,20.087,21.395,22.498,20.875,20.781,20.873,20.923,20.95,21.395,23.027,24.791,26.636,27.276,28.402,30.749,33.486,36.316,38.487,40.006,42.929,58.076,68.526,66.952,67.974,70.883,69.59,62.09,65.422,70.539,74.932,77.337,75.762,76.742,81.619,77.48,78.648,74.979,79.497,80.647,80.746,84.567,77.893,70.058,71.725,71.441,75.988,81.144,82.005,90.389,84.186,90.213,97.371,101.967,102.106,104.716,101.623,99.323,100,101.823,105.279,95.888,95.803,117.254,123.551,125.439
      Water transportation,27.536,26.927,27.07,26.912,26.718,27.278,26.862,27.347,27.347,26.048,26.476,26.253,27.171,27.769,28.561,29.704,29.685,29.694,29.641,31.325,30.222,29.905,29.905,29.905,29.247,29.471,29.247,29.482,29.482,29.482,30.527,31.744,32.437,32.893,33.726,34.105,35.166,36.541,37.67,39.398,42.049,45.454,47.872,50.009,52.205,56.518,61.787,66.554,71.443,76.849,80.745,86.401,90.975,94.761,98.054,101.063,104.747,110.09,112.883,114.528,118.929,124.266,129.33,133.423,137.144,140.176,144.465,148.215,152.176,159.8,154.762,138.405,125.246,120.276,110.324,108.553,109.864,109.495,108.904,107.116,97.198,98.292,96.16,95.287,96.497,95.768,95.726,99.107,100,100.299,99.6,95.588,101.685,100.709,102.641,98.722
  Communication,38.975,38.96,38.738,38.677,38.656,38.447,38.439,38.166,38.027,37.82,37.705,37.896,38.452,40.65,42.272,43.799,44.606,44.919,46.355,48.843,50.805,54.236,55.739,58.014,59.979,59.495,59.112,59.934,61.119,62.931,64.587,65.761,66.036,66.108,67.374,67.754,67.006,65.809,66.802,67.955,69.007,69.776,74.245,78.479,80.372,84.816,87.54,92.688,93.796,95.593,95.935,97.506,107.682,118.936,125.723,133.901,138.836,143.207,140.488,140.708,141.239,141.196,144.263,144.724,145.472,148.18,148.938,149.552,150.582,149.269,145.836,141.134,138.926,139.094,137.719,134.753,132.772,131.743,128.81,129.86,130.75,129.536,127.529,126.217,124.219,118.538,112.311,107.226,100,97.733,93.993,91.444,89.344,87.287,85.926,84.829
