category,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
        Men's and boys' clothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7435.0,7582.0,7764.0,8055.0,8239.0,9044.0,9604.0,10597.0,11351.0,12437.0,13390.0,13724.0,14747.0,16331.0,18175.0,19303.0,20874.0,22549.0,25065.0,27601.0,29236.0,30894.0,33548.0,34524.0,37092.0,40190.0,42459.0,44884.0,48049.0,51723.0,55584.0,57381.0,59392.0,63009.0,66065.0,70095.0,72209.0,75838.0,79957.0,82193.0,84621.0,85874.0,83203.0,82445.0,82837.0,84508.0,86299.0,86668.0,85315.0,83949.0,80487.0,83709.0,88227.0,92023.0,95138.0,99625.0,103414.0,106761.0,110012.0,111601.0,112740.0,96090.0,125656.0,134039.0,139474.0,144109.0
        Children's and infants' clothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.0,304.0,318.0,334.0,377.0,379.0,455.0,495.0,543.0,613.0,788.0,954.0,871.0,1076.0,1328.0,1664.0,1873.0,2161.0,2466.0,3005.0,3444.0,3911.0,4582.0,5098.0,5501.0,5967.0,6324.0,6710.0,7021.0,7607.0,7969.0,8051.0,8097.0,8237.0,8426.0,8755.0,8963.0,9132.0,9361.0,9968.0,10767.0,11429.0,11879.0,12257.0,13081.0,14086.0,15442.0,16666.0,17629.0,18250.0,17671.0,17969.0,18013.0,17448.0,18247.0,19304.0,20444.0,21188.0,22106.0,21754.0,21602.0,19069.0,23720.0,24445.0,24787.0,26058.0
      Other clothing materials,270.0,238.0,205.0,146.0,137.0,163.0,180.0,192.0,196.0,199.0,216.0,241.0,460.0,952.0,1410.0,1468.0,1566.0,896.0,774.0,788.0,772.0,824.0,1013.0,896.0,816.0,738.0,738.0,777.0,785.0,795.0,832.0,816.0,837.0,891.0,889.0,839.0,898.0,1024.0,998.0,1068.0,1053.0,1055.0,1263.0,1458.0,1613.0,1738.0,1619.0,1933.0,2031.0,2132.0,2147.0,2360.0,2441.0,2615.0,2742.0,2898.0,2950.0,3210.0,3533.0,3705.0,3820.0,3752.0,3809.0,3910.0,3934.0,3806.0,3570.0,3666.0,3524.0,3693.0,4017.0,4358.0,4560.0,4975.0,4906.0,4708.0,4481.0,4290.0,3974.0,3893.0,3921.0,4012.0,4059.0,4167.0,3988.0,3780.0,3600.0,3253.0,3243.0,3329.0,3238.0,3325.0,3394.0,3488.0,3625.0,3530.0
"      Cleaning, repair, and rental of clothing",1035.0,949.0,799.0,616.0,540.0,585.0,633.0,704.0,771.0,760.0,766.0,826.0,960.0,1108.0,1361.0,1478.0,1626.0,2004.0,2211.0,2321.0,2317.0,2341.0,2467.0,2571.0,2685.0,2727.0,2778.0,2885.0,2956.0,2930.0,3008.0,3074.0,3074.0,3140.0,3223.0,3406.0,3574.0,3739.0,3873.0,4051.0,4199.0,4201.0,4037.0,4111.0,4054.0,4082.0,4185.0,4330.0,4607.0,4938.0,5172.0,5418.0,5537.0,5517.0,6032.0,6631.0,7018.0,7461.0,8165.0,9338.0,10220.0,10668.0,10396.0,11152.0,11458.0,12099.0,12947.0,13477.0,14059.0,14812.0,15610.0,16239.0,16313.0,15868.0,15673.0,15577.0,15472.0,15689.0,15581.0,15285.0,14646.0,14659.0,14176.0,13958.0,14709.0,15615.0,16185.0,16809.0,17684.0,18188.0,18432.0,14621.0,17171.0,19925.0,21675.0,23386.0
        Laundry and dry cleaning services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1659.0,1675.0,1654.0,1670.0,1703.0,1858.0,2055.0,2258.0,2404.0,2495.0,2555.0,2526.0,2396.0,2421.0,2123.0,2099.0,2112.0,2142.0,2277.0,2538.0,2686.0,2850.0,2845.0,2653.0,2987.0,3271.0,3373.0,3569.0,4052.0,4585.0,4960.0,4858.0,5270.0,6683.0,7004.0,7593.0,8191.0,8701.0,9157.0,9713.0,10414.0,11045.0,11228.0,11299.0,11226.0,11203.0,11190.0,11488.0,11482.0,11252.0,10895.0,10947.0,10896.0,10842.0,11349.0,11904.0,12058.0,12235.0,12624.0,12929.0,12867.0,10161.0,11718.0,13619.0,14815.0,16116.0
"        Clothing repair, rental, and alterations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1349.0,1399.0,1420.0,1470.0,1520.0,1548.0,1519.0,1481.0,1469.0,1556.0,1644.0,1675.0,1641.0,1690.0,1931.0,1983.0,2073.0,2188.0,2330.0,2400.0,2486.0,2568.0,2692.0,2864.0,3045.0,3360.0,3646.0,3891.0,4113.0,4753.0,5261.0,5810.0,5127.0,4470.0,4454.0,4507.0,4756.0,4777.0,4901.0,5098.0,5196.0,5194.0,5085.0,4569.0,4447.0,4374.0,4282.0,4201.0,4099.0,4033.0,3750.0,3712.0,3280.0,3117.0,3361.0,3712.0,4127.0,4574.0,5060.0,5260.0,5565.0,4460.0,5453.0,6306.0,6859.0,7270.0
    Footwear\2\,1750.0,1444.0,1265.0,1067.0,926.0,1115.0,1077.0,1196.0,1335.0,1312.0,1282.0,1325.0,1516.0,1874.0,1971.0,2066.0,2381.0,2927.0,3116.0,3266.0,3293.0,3518.0,3529.0,3480.0,3510.0,3534.0,3843.0,4015.0,4065.0,4328.0,4591.0,4761.0,4835.0,5035.0,5055.0,5439.0,5653.0,6250.0,6612.0,7345.0,8081.0,8071.0,8448.0,9235.0,10192.0,10231.0,10724.0,11448.0,12595.0,14486.0,16396.0,17781.0,19774.0,19597.0,20797.0,22017.0,23356.0,24913.0,26505.0,28155.0,30940.0,32137.0,31950.0,33541.0,34842.0,36895.0,38094.0,39978.0,41189.0,43449.0,45656.0,46920.0,46553.0,46318.0,48115.0,50791.0,55085.0,59168.0,61232.0,61147.0,58921.0,62153.0,66075.0,69712.0,73426.0,77301.0,81027.0,85381.0,87404.0,89919.0,91872.0,81417.0,105756.0,110342.0,114022.0,116174.0
"  Housing, utilities, and fuels",14469.0,14026.0,13088.0,11626.0,10498.0,10357.0,10517.0,11002.0,11576.0,11913.0,12273.0,12840.0,13740.0,14823.0,15511.0,16213.0,16881.0,18772.0,21198.0,23949.0,25617.0,28430.0,31571.0,34594.0,37872.0,40851.0,43775.0,46774.0,49979.0,53325.0,56857.0,60525.0,64016.0,68195.0,72178.0,76236.0,80999.0,85849.0,91120.0,97405.0,105490.0,113786.0,124478.0,136172.0,149679.0,166298.0,184843.0,204630.0,228688.0,255630.0,287548.0,327662.0,367595.0,401723.0,434602.0,471142.0,513937.0,548115.0,582573.0,625893.0,666891.0,709299.0,747525.0,783255.0,827304.0,876082.0,926675.0,976690.0,1023056.0,1077040.0,1135488.0,1214463.0,1302994.0,1343823.0,1408519.0,1485989.0,1602445.0,1689440.0,1785184.0,1902848.0,1923247.0,1972527.0,2010292.0,2038866.0,2111649.0,2173820.0,2217529.0,2287430.0,2371652.0,2484287.0,2585792.0,2707744.0,2867439.0,3147349.0,3403504.0,3629903.0
    Housing,11418.0,10961.0,10237.0,9005.0,7932.0,7623.0,7720.0,8018.0,8529.0,8937.0,9140.0,9444.0,10153.0,10943.0,11427.0,11966.0,12368.0,13743.0,15411.0,17340.0,19087.0,21127.0,23678.0,26298.0,29133.0,31483.0,33553.0,35817.0,38344.0,41009.0,43954.0,46976.0,49956.0,53381.0,56469.0,59765.0,63627.0,67510.0,71866.0,77316.0,84207.0,91040.0,99725.0,108730.0,118989.0,130046.0,142419.0,156034.0,173353.0,194495.0,218026.0,246551.0,277949.0,303011.0,327228.0,357682.0,394623.0,430519.0,461501.0,497330.0,531037.0,570621.0,601496.0,634457.0,666385.0,709460.0,756073.0,795427.0,839196.0,894167.0,948579.0,1010488.0,1085509.0,1129287.0,1174109.0,1239798.0,1328972.0,1399514.0,1481374.0,1576745.0,1609778.0,1648067.0,1683014.0,1722422.0,1778305.0,1823326.0,1879082.0,1953163.0,2023254.0,2108150.0,2210795.0,2331920.0,2464446.0,2679332.0,2940731.0,3146981.0
      Rental of tenant-occupied nonfarm housing\3\,4542.0,4454.0,4280.0,3858.0,3415.0,3277.0,3323.0,3490.0,3763.0,4003.0,4132.0,4298.0,4580.0,4827.0,4837.0,4816.0,4670.0,4918.0,5290.0,5895.0,6505.0,7058.0,7745.0,8406.0,9194.0,9756.0,10094.0,10514.0,11151.0,11822.0,12532.0,13279.0,14150.0,15115.0,16045.0,17034.0,18156.0,19238.0,20390.0,22168.0,24042.0,25962.0,28395.0,30791.0,33696.0,35817.0,38983.0,42569.0,47016.0,51117.0,55676.0,62468.0,71097.0,78908.0,85696.0,94548.0,108430.0,119848.0,126866.0,133874.0,140120.0,150832.0,157682.0,164023.0,169140.0,176092.0,186587.0,192003.0,199248.0,208954.0,218167.0,227926.0,242254.0,248175.0,251766.0,264097.0,281723.0,291548.0,308827.0,330143.0,346308.0,361058.0,378303.0,399470.0,413449.0,429482.0,445511.0,460739.0,467076.0,490429.0,520947.0,536804.0,569562.0,622397.0,688906.0,740336.0
